# Processed galaxy data ready for 3D visualization
# Columns: x, y, z (3D coordinates), g_mag (brightness), red, green, blue (colors), galaxy_type
# Coordinates are centered and scaled for optimal visualization
x,y,z,g_mag,red,green,blue,galaxy_type
-22.19,1.707,-1.149,21.0,0.248,0.674,0.57,dwarf
-39.315,1.904,-0.013,18.63,1.0,0.695,0.232,elliptical
-34.079,-0.57,0.78,19.9,0.382,0.743,0.921,spiral
23.161,0.001,-0.847,15.95,1.0,0.996,0.225,elliptical
-20.459,-0.454,1.242,20.16,0.325,0.719,0.933,spiral
3.361,-0.291,-0.732,17.7,0.545,0.902,1.0,spiral
-31.837,-0.371,0.564,20.06,1.0,0.501,0.154,elliptical
20.604,-0.148,-0.591,17.27,0.414,1.0,1.0,spiral
-9.391,1.398,1.254,18.54,0.403,0.842,1.0,spiral
20.066,-0.087,-0.59,18.83,0.38,0.732,1.0,spiral
-21.129,-1.096,0.107,18.61,1.0,0.427,0.871,irregular
-3.3,0.952,1.086,16.87,1.0,1.0,0.378,elliptical
-15.025,1.675,1.92,18.49,0.369,0.773,1.0,spiral
-30.757,-0.634,0.826,19.81,0.335,0.758,1.0,spiral
10.321,-0.353,-0.857,17.59,1.0,0.827,0.187,elliptical
-11.409,0.462,-0.793,18.92,0.316,0.783,1.0,spiral
23.163,-0.032,-0.79,15.83,0.673,1.0,1.0,spiral
8.728,-0.377,-0.226,17.55,0.321,0.919,1.0,spiral
-7.113,1.041,-0.799,18.12,1.0,0.758,0.331,elliptical
0.633,0.44,0.739,18.1,0.417,0.996,1.0,spiral
-23.349,-0.098,1.353,20.08,1.0,0.502,0.293,elliptical
-39.505,2.528,0.161,20.39,0.16,0.77,0.745,dwarf
-25.07,1.34,0.719,16.86,0.455,1.0,1.0,spiral
1.48,0.376,0.573,18.39,1.0,0.813,0.266,elliptical
-45.093,-2.217,-1.178,19.77,0.286,0.642,0.993,spiral
23.164,-0.046,-0.777,14.59,1.0,0.666,1.0,irregular
-37.165,-1.957,2.98,20.51,0.146,0.876,0.672,dwarf
-42.238,0.285,-0.677,19.13,0.198,1.0,0.758,dwarf
-13.229,0.462,-0.802,19.36,1.0,0.625,0.186,elliptical
-6.998,-0.143,0.41,17.16,1.0,0.664,1.0,irregular
23.161,0.025,-0.843,19.59,0.419,0.789,0.987,spiral
7.334,-0.598,-0.48,16.92,1.0,0.941,0.341,elliptical
23.162,-0.044,-0.842,15.93,1.0,0.795,1.0,irregular
-0.703,0.014,-0.349,17.35,1.0,0.904,0.261,elliptical
23.164,0.013,-0.772,16.32,1.0,0.886,0.375,elliptical
23.161,0.028,-0.848,15.85,0.503,1.0,1.0,spiral
21.877,-0.041,-0.859,16.66,1.0,0.934,0.423,elliptical
18.249,-0.162,-0.508,17.18,0.554,0.91,1.0,spiral
-23.159,0.54,0.653,18.19,1.0,0.697,0.245,elliptical
19.634,0.156,-0.707,16.53,1.0,1.0,0.465,elliptical
-55.926,1.243,-0.067,20.53,0.194,0.642,0.835,spiral
23.163,0.037,-0.806,16.97,1.0,0.846,0.398,elliptical
23.162,0.011,-0.796,15.82,1.0,0.957,0.231,elliptical
23.162,0.027,-0.829,14.25,0.734,1.0,1.0,spiral
-21.147,-1.45,1.998,18.75,0.352,0.901,1.0,spiral
23.161,-0.009,-0.83,16.82,1.0,0.874,0.318,elliptical
23.161,0.022,-0.845,18.27,1.0,0.647,0.312,elliptical
-4.026,-0.082,-0.965,17.1,0.363,0.904,1.0,spiral
6.473,-0.15,-0.27,18.87,0.287,0.788,1.0,spiral
-7.428,-1.213,-0.622,18.73,0.443,0.956,1.0,spiral
-47.885,-1.86,-0.207,18.59,0.367,0.854,1.0,spiral
23.164,0.011,-0.774,17.62,0.416,1.0,1.0,spiral
23.163,0.017,-0.786,17.89,1.0,0.72,0.282,elliptical
8.737,-0.552,-0.137,18.25,0.262,0.825,1.0,spiral
23.163,-0.029,-0.798,17.72,1.0,0.89,0.215,elliptical
-39.02,1.387,2.712,20.26,0.222,0.576,0.943,spiral
-10.756,-0.983,-0.814,18.51,1.0,0.594,1.0,irregular
-15.624,0.94,1.32,19.16,1.0,0.582,0.147,elliptical
23.161,0.013,-0.839,15.8,1.0,0.775,1.0,irregular
-1.85,0.787,0.261,17.26,1.0,0.883,0.263,elliptical
-16.358,-1.499,1.308,20.82,0.34,0.623,0.877,spiral
-21.429,-1.733,2.451,20.55,0.866,0.609,0.131,elliptical
17.501,0.095,-0.433,16.48,0.477,1.0,1.0,spiral
23.161,0.013,-0.823,15.7,1.0,1.0,0.205,elliptical
-17.578,1.179,0.608,17.65,0.548,0.978,1.0,spiral
12.269,0.507,-0.257,16.8,0.611,1.0,1.0,spiral
17.381,-0.059,-0.866,17.74,1.0,0.794,0.407,elliptical
16.856,0.297,-0.607,19.17,1.0,0.577,0.131,elliptical
-12.053,-0.191,-0.672,15.89,0.383,1.0,1.0,spiral
23.162,0.042,-0.841,17.39,1.0,0.768,0.252,elliptical
-4.023,-0.426,-1.044,17.21,0.324,0.984,1.0,spiral
23.162,0.036,-0.833,17.78,1.0,0.93,0.27,elliptical
-10.218,0.885,-0.266,19.59,1.0,0.409,0.913,irregular
11.93,-0.343,-0.587,19.97,0.357,0.655,0.912,spiral
-9.03,0.261,0.466,18.32,0.459,1.0,1.0,spiral
-15.757,-1.288,0.507,18.4,1.0,0.4,1.0,irregular
8.393,0.333,-0.792,19.03,1.0,0.572,0.897,irregular
13.671,0.442,-0.094,15.56,0.624,1.0,1.0,spiral
-22.951,-1.36,-0.408,18.38,0.45,0.766,1.0,spiral
-7.466,0.896,1.411,18.58,0.302,0.793,1.0,spiral
-4.879,-0.264,-0.477,16.62,0.367,1.0,1.0,spiral
23.162,-0.008,-0.811,17.61,1.0,0.845,0.157,elliptical
-44.393,2.686,1.53,18.88,1.0,0.623,0.276,elliptical
-25.085,-0.813,0.595,18.75,0.272,0.728,1.0,spiral
23.161,-0.01,-0.822,17.89,0.297,0.979,1.0,spiral
-1.242,0.022,-0.577,20.93,0.201,0.694,0.67,dwarf
4.122,-0.731,-0.962,18.04,1.0,0.893,0.238,elliptical
-3.046,-0.822,-0.325,19.17,1.0,0.417,0.861,irregular
23.163,0.038,-0.791,17.61,0.482,1.0,1.0,spiral
-18.027,-1.074,-0.039,17.82,1.0,0.811,0.262,elliptical
-7.911,-0.359,1.327,20.05,0.114,0.98,0.623,dwarf
23.161,0.023,-0.846,16.49,0.443,1.0,1.0,spiral
-41.264,-1.029,-0.171,20.77,0.948,0.343,0.709,irregular
23.162,0.028,-0.835,17.04,0.396,0.93,1.0,spiral
-14.403,-0.663,-0.665,17.73,1.0,0.486,1.0,irregular
-3.277,-0.194,-0.867,17.9,1.0,0.455,0.945,irregular
23.162,-0.016,-0.804,15.38,0.572,1.0,1.0,spiral
-14.302,0.012,-0.91,17.22,0.503,0.947,1.0,spiral
-27.237,-1.703,2.292,18.48,1.0,0.837,0.356,elliptical
-1.735,-0.271,0.634,17.44,0.523,0.947,1.0,spiral
-10.151,-0.956,1.354,17.73,1.0,0.889,0.323,elliptical
3.697,-0.242,-0.058,17.82,1.0,0.891,0.166,elliptical
22.735,0.019,-0.777,18.2,1.0,0.4,0.977,irregular
21.773,0.091,-0.743,17.28,0.572,1.0,1.0,spiral
-62.499,3.598,-1.436,20.35,0.202,0.686,1.0,spiral
1.507,0.447,0.937,16.16,0.65,1.0,1.0,spiral
23.161,0.024,-0.848,15.96,1.0,0.88,0.396,elliptical
2.741,0.149,0.164,19.35,0.236,0.71,1.0,spiral
-5.572,1.218,0.591,17.88,0.315,0.927,1.0,spiral
9.816,-0.343,0.092,16.37,1.0,0.864,0.331,elliptical
23.161,-0.0,-0.845,16.99,0.588,1.0,1.0,spiral
13.545,0.405,-0.396,17.05,0.472,1.0,1.0,spiral
19.42,0.178,-0.724,15.6,1.0,1.0,0.497,elliptical
12.033,-0.3,-0.911,17.18,1.0,0.9,0.263,elliptical
14.073,-0.181,-0.439,18.31,0.293,0.905,1.0,spiral
-13.628,1.541,-0.917,18.29,0.36,0.979,1.0,spiral
-5.835,0.785,-0.669,20.1,0.33,0.65,1.0,spiral
-4.599,-0.528,1.096,16.8,1.0,0.946,0.233,elliptical
-3.788,-0.778,0.016,19.58,0.977,0.569,0.197,elliptical
-37.066,-1.991,-0.208,19.47,0.271,0.883,0.751,dwarf
23.162,-0.002,-0.804,17.55,1.0,0.763,0.323,elliptical
-33.314,2.147,-1.195,19.64,0.271,0.677,1.0,spiral
9.036,0.097,-0.52,18.34,0.368,0.766,1.0,spiral
19.746,0.003,-0.543,16.06,1.0,0.521,1.0,irregular
10.656,0.341,-0.226,16.75,1.0,0.803,0.182,elliptical
-26.267,1.41,-0.24,20.82,0.157,0.693,0.63,dwarf
17.388,-0.223,-0.64,18.88,1.0,0.664,0.144,elliptical
-0.15,-1.001,-0.51,18.83,1.0,0.705,0.245,elliptical
4.551,0.731,-0.727,18.7,1.0,0.842,0.249,elliptical
-8.795,-0.339,0.904,19.27,0.227,0.895,1.0,spiral
-2.067,-0.703,0.268,18.53,1.0,0.569,1.0,irregular
-4.592,-0.08,1.262,17.8,0.523,0.828,1.0,spiral
23.161,-0.003,-0.852,19.37,0.229,0.831,1.0,spiral
23.162,-0.001,-0.794,16.59,0.589,1.0,1.0,spiral
-18.914,0.21,2.05,19.31,0.317,0.761,1.0,spiral
-8.809,0.006,0.648,18.19,1.0,0.52,0.953,irregular
3.363,-0.323,-0.636,19.46,1.0,0.755,0.117,elliptical
-31.181,-1.155,2.925,19.78,0.4,0.67,0.962,spiral
23.162,-0.03,-0.815,19.22,1.0,0.401,0.829,irregular
-8.507,-0.56,-0.022,17.04,0.346,1.0,1.0,spiral
2.301,-0.231,-0.151,18.09,0.315,0.879,1.0,spiral
-25.628,0.689,0.373,19.53,0.412,0.657,1.0,spiral
-32.929,-1.563,2.241,20.25,0.105,0.832,0.662,dwarf
-11.05,1.226,0.343,16.52,0.327,1.0,1.0,spiral
19.313,0.079,-0.627,16.78,1.0,0.843,0.373,elliptical
6.466,-0.283,-0.72,16.78,1.0,0.992,0.259,elliptical
0.288,-0.97,-0.044,17.96,1.0,0.437,1.0,irregular
-31.744,-0.498,2.671,17.74,1.0,0.52,1.0,irregular
2.885,-0.635,0.647,19.12,0.32,0.762,1.0,spiral
9.586,0.096,-0.121,16.75,0.36,1.0,1.0,spiral
-22.43,-0.967,2.265,19.84,0.354,0.633,1.0,spiral
23.162,0.008,-0.8,16.54,1.0,0.893,0.178,elliptical
-13.967,-0.643,2.131,18.45,0.447,0.767,1.0,spiral
23.162,0.037,-0.848,17.95,1.0,0.668,0.979,irregular
10.549,0.513,-0.346,17.07,0.542,1.0,1.0,spiral
-25.822,-0.661,1.046,19.84,0.356,0.791,1.0,spiral
19.201,0.013,-0.864,16.31,1.0,1.0,0.31,elliptical
-7.827,0.137,0.991,19.64,0.22,0.65,0.976,spiral
2.473,-0.938,0.728,17.59,1.0,0.877,0.371,elliptical
7.003,-0.386,-0.805,20.27,0.91,0.414,0.815,irregular
23.165,0.037,-0.768,16.48,1.0,0.947,0.281,elliptical
13.342,-0.017,-0.066,17.6,1.0,0.891,0.296,elliptical
22.203,-0.067,-0.721,16.89,1.0,0.963,0.336,elliptical
23.163,-0.012,-0.784,14.21,0.593,1.0,1.0,spiral
-8.498,1.232,-1.059,18.08,0.4,0.953,1.0,spiral
23.162,0.016,-0.809,18.42,0.27,0.814,1.0,spiral
13.422,-0.144,-0.797,17.68,0.35,1.0,1.0,spiral
22.2,-0.088,-0.822,17.45,0.417,0.939,1.0,spiral
3.174,0.803,-0.093,20.94,0.113,0.767,0.661,dwarf
23.161,-0.004,-0.816,17.81,0.369,1.0,1.0,spiral
7.247,0.125,0.233,16.81,1.0,0.86,0.157,elliptical
-25.324,-0.155,-0.348,16.51,0.501,1.0,1.0,spiral
-22.737,-1.414,-0.854,16.97,1.0,0.844,0.254,elliptical
23.161,0.01,-0.819,17.84,1.0,0.796,0.31,elliptical
-14.902,-0.469,0.91,16.21,0.401,1.0,1.0,spiral
23.161,-0.019,-0.852,17.45,0.349,1.0,1.0,spiral
23.163,0.012,-0.784,16.96,1.0,0.885,0.324,elliptical
-45.317,-1.607,0.156,19.49,0.308,0.685,1.0,spiral
-0.914,0.644,-0.8,18.27,1.0,0.703,0.238,elliptical
-8.861,-1.356,1.175,18.09,0.277,0.864,1.0,spiral
21.346,-0.08,-0.706,18.84,0.432,0.874,1.0,spiral
-6.474,0.18,0.063,17.23,1.0,0.916,0.182,elliptical
-20.949,0.842,1.98,20.51,0.906,0.367,0.772,irregular
19.851,-0.089,-0.588,17.72,1.0,0.862,0.322,elliptical
-21.133,-1.26,-0.397,18.09,1.0,0.842,0.268,elliptical
-15.902,-0.031,-0.155,18.4,1.0,0.84,0.335,elliptical
-1.434,0.76,-0.036,19.24,0.316,0.843,1.0,spiral
23.162,0.026,-0.804,16.06,1.0,0.841,0.412,elliptical
23.161,-0.007,-0.855,15.76,1.0,1.0,0.495,elliptical
-44.666,-2.267,4.557,20.59,0.2,0.651,0.897,spiral
11.071,0.123,-0.487,18.9,1.0,0.672,0.299,elliptical
-47.724,0.118,2.561,20.31,0.293,0.66,0.891,spiral
16.861,-0.115,-0.392,17.99,0.387,0.959,1.0,spiral
23.163,-0.021,-0.782,16.13,1.0,1.0,0.298,elliptical
23.162,0.037,-0.835,17.73,1.0,0.889,0.191,elliptical
-24.241,-1.21,-0.769,17.44,0.359,1.0,1.0,spiral
7.651,0.455,-0.467,17.21,0.399,1.0,1.0,spiral
23.162,-0.043,-0.832,18.77,0.472,0.826,1.0,spiral
23.162,0.032,-0.848,14.05,1.0,1.0,0.506,elliptical
-5.055,0.87,0.459,19.15,0.4,0.849,1.0,spiral
-25.205,1.026,-0.212,17.49,1.0,0.504,1.0,irregular
23.161,-0.028,-0.85,14.59,1.0,1.0,0.425,elliptical
23.164,0.002,-0.765,16.53,1.0,1.0,0.412,elliptical
6.399,0.386,0.324,16.28,1.0,0.848,0.471,elliptical
10.56,0.514,-0.12,17.4,1.0,0.905,0.351,elliptical
-5.439,-1.156,1.1,14.66,1.0,1.0,0.352,elliptical
-8.263,1.24,0.325,17.83,1.0,0.532,0.994,irregular
6.253,0.377,-0.745,18.18,0.417,0.881,1.0,spiral
13.558,-0.356,-0.127,18.48,0.299,1.0,1.0,spiral
-20.235,-1.59,0.858,17.86,1.0,0.894,0.381,elliptical
2.998,-0.513,0.759,15.25,0.498,1.0,1.0,spiral
19.851,-0.053,-0.579,18.1,0.304,0.991,1.0,spiral
8.291,-0.41,-0.545,18.52,1.0,0.547,1.0,irregular
8.31,0.676,-0.207,18.2,1.0,0.887,0.156,elliptical
-7.21,-0.885,0.14,19.95,0.314,0.781,1.0,spiral
23.163,-0.022,-0.779,17.15,0.458,1.0,1.0,spiral
-4.094,-0.617,0.517,18.7,1.0,0.615,0.146,elliptical
-18.366,-0.501,-0.749,18.93,1.0,0.688,0.245,elliptical
21.022,-0.096,-0.796,17.65,1.0,0.721,0.389,elliptical
-18.969,1.759,-0.077,18.37,1.0,0.756,0.252,elliptical
12.479,-0.42,-0.26,17.34,1.0,0.854,0.391,elliptical
-30.983,-0.227,0.505,20.31,0.155,0.942,0.723,dwarf
-45.299,-2.177,0.32,20.33,1.0,0.437,0.845,irregular
-16.314,-1.168,-0.204,19.61,1.0,0.475,0.755,irregular
20.807,0.075,-0.873,18.46,1.0,0.714,0.172,elliptical
-20.714,-0.956,-1.05,19.77,1.0,0.444,0.884,irregular
-3.374,0.756,-0.897,18.11,0.506,0.942,1.0,spiral
14.521,0.342,-0.159,18.28,1.0,0.691,0.214,elliptical
-18.081,0.24,1.645,17.34,1.0,0.83,0.414,elliptical
23.163,-0.01,-0.79,16.55,0.493,1.0,1.0,spiral
3.525,-0.277,0.693,17.55,1.0,0.732,0.164,elliptical
23.162,0.021,-0.822,17.24,1.0,0.804,0.32,elliptical
-16.541,0.779,-0.466,17.13,1.0,0.851,0.174,elliptical
1.436,-0.027,-0.462,17.6,1.0,0.479,0.994,irregular
-11.077,0.239,0.112,20.39,1.0,0.324,0.84,irregular
-8.538,-1.304,1.22,17.28,0.474,1.0,1.0,spiral
23.162,0.034,-0.82,16.43,1.0,1.0,0.184,elliptical
-29.999,2.029,-0.94,18.25,0.4,0.91,1.0,spiral
-8.092,-0.266,-1.1,17.75,1.0,0.757,0.25,elliptical
23.164,0.034,-0.772,16.28,0.37,1.0,1.0,spiral
5.834,0.327,-0.226,15.15,1.0,1.0,0.528,elliptical
23.163,-0.034,-0.791,16.21,0.417,1.0,1.0,spiral
2.116,0.102,0.503,15.73,1.0,0.658,1.0,irregular
23.163,-0.011,-0.79,16.19,1.0,0.962,0.489,elliptical
-23.896,-1.641,0.187,18.07,0.343,0.983,1.0,spiral
0.067,0.902,-0.193,19.45,0.26,0.843,1.0,spiral
18.994,-0.225,-0.685,17.44,1.0,0.97,0.387,elliptical
-29.869,-2.194,0.497,17.87,0.403,0.903,1.0,spiral
-14.949,0.719,1.894,17.86,0.446,0.885,1.0,spiral
23.165,-0.032,-0.764,17.84,0.36,0.868,1.0,spiral
-38.277,-0.228,-0.551,19.39,1.0,0.608,0.202,elliptical
-10.44,0.596,-0.364,17.75,0.489,1.0,1.0,spiral
-13.124,-0.264,-0.719,17.69,0.311,0.995,1.0,spiral
23.162,-0.008,-0.798,17.3,0.292,0.889,1.0,spiral
-18.877,1.023,2.411,19.48,1.0,0.437,0.969,irregular
-14.071,-0.985,-0.259,19.68,1.0,0.396,0.852,irregular
23.161,-0.01,-0.821,18.96,0.333,0.848,1.0,spiral
-20.578,0.028,1.021,18.9,1.0,0.372,0.865,irregular
-37.249,-0.396,3.755,19.75,0.285,0.722,1.0,spiral
-27.734,-0.049,1.543,18.97,1.0,0.535,0.963,irregular
-0.919,-0.424,-0.771,19.72,0.213,0.64,1.0,spiral
-10.441,-0.73,-0.717,18.34,1.0,0.697,0.293,elliptical
13.314,-0.11,-0.857,17.3,1.0,0.762,0.331,elliptical
-3.81,0.368,-0.82,19.05,1.0,0.528,0.817,irregular
23.163,-0.002,-0.782,15.57,1.0,0.975,0.436,elliptical
10.144,-0.375,0.175,17.58,0.409,0.961,1.0,spiral
-13.119,-0.46,2.024,19.13,1.0,0.673,0.306,elliptical
8.621,-0.119,-0.131,16.34,0.427,1.0,1.0,spiral
23.162,-0.03,-0.804,17.97,1.0,0.814,0.337,elliptical
23.161,0.018,-0.843,16.75,1.0,0.847,0.454,elliptical
-3.84,1.07,0.969,19.24,0.334,0.754,1.0,spiral
-47.899,0.878,0.226,20.85,0.775,0.405,0.732,irregular
-23.891,-1.724,0.319,20.77,0.134,0.78,0.606,dwarf
-6.978,-0.363,0.8,18.78,0.35,0.931,1.0,spiral
-9.597,-0.773,1.67,16.76,1.0,0.964,0.188,elliptical
10.866,0.525,-0.543,17.67,0.386,1.0,0.981,dwarf
3.687,0.234,-0.363,17.32,0.533,0.911,1.0,spiral
-22.581,1.175,1.433,17.17,1.0,0.828,0.427,elliptical
-15.794,0.713,-0.719,16.46,1.0,1.0,0.207,elliptical
6.467,-0.332,-0.693,17.42,1.0,0.501,1.0,irregular
10.537,-0.403,-0.948,17.66,0.556,1.0,1.0,spiral
-10.416,-0.095,0.652,18.81,0.317,0.916,1.0,spiral
-10.064,0.561,1.173,18.03,1.0,0.672,0.269,elliptical
-18.342,1.41,-0.231,19.47,0.306,0.823,1.0,spiral
-5.094,0.326,-1.099,18.25,0.371,0.896,1.0,spiral
23.162,-0.028,-0.813,17.41,0.313,1.0,1.0,spiral
21.132,0.002,-0.671,17.53,1.0,0.889,0.413,elliptical
11.071,0.348,-0.8,17.97,1.0,0.802,0.141,elliptical
8.61,-0.187,-0.454,16.53,1.0,0.793,0.239,elliptical
9.709,0.036,0.156,16.19,1.0,0.822,0.322,elliptical
-18.76,0.967,0.657,17.27,1.0,0.776,0.258,elliptical
-1.875,-0.108,-0.088,17.7,0.352,1.0,1.0,spiral
23.164,0.022,-0.766,15.6,0.497,1.0,1.0,spiral
1.596,-0.945,0.454,20.71,0.195,0.684,0.962,spiral
12.673,-0.17,-0.783,17.49,1.0,0.904,0.146,elliptical
-17.029,0.975,1.079,19.32,0.439,0.792,1.0,spiral
23.161,0.005,-0.853,16.54,1.0,0.985,0.204,elliptical
23.165,-0.041,-0.763,17.03,0.448,0.969,1.0,spiral
23.165,-0.041,-0.767,18.93,1.0,0.622,0.264,elliptical
-12.009,0.445,0.915,18.02,0.411,0.93,1.0,spiral
-26.42,-1.994,1.285,18.82,0.469,0.899,1.0,spiral
-36.415,0.776,3.363,18.66,1.0,0.396,1.0,irregular
5.715,0.002,-0.677,16.84,1.0,0.83,0.334,elliptical
23.162,0.038,-0.849,14.31,1.0,0.856,1.0,irregular
-2.062,0.383,0.517,16.36,1.0,0.973,0.332,elliptical
-3.475,0.524,-0.06,18.52,0.394,0.852,1.0,spiral
1.774,-0.929,-0.599,16.46,0.529,0.977,1.0,spiral
-26.247,-1.537,0.576,19.79,0.371,0.772,1.0,spiral
23.163,-0.006,-0.79,18.63,0.454,0.929,1.0,spiral
4.461,0.349,0.215,17.54,1.0,0.971,0.306,elliptical
1.708,-0.853,0.586,17.12,1.0,1.0,0.148,elliptical
23.164,-0.023,-0.775,17.2,0.574,1.0,1.0,spiral
-11.944,-1.513,1.547,18.05,1.0,0.749,0.39,elliptical
7.642,0.171,-0.755,16.65,1.0,1.0,0.207,elliptical
-3.338,0.636,0.611,19.9,1.0,0.429,0.771,irregular
4.904,-0.37,0.442,18.37,0.36,1.0,1.0,spiral
-21.45,-1.459,-0.618,19.04,0.377,0.853,1.0,spiral
23.162,0.021,-0.797,17.58,1.0,0.773,0.349,elliptical
23.162,0.012,-0.798,17.06,0.46,0.903,1.0,spiral
-30.339,-0.885,0.261,18.81,0.416,0.807,1.0,spiral
23.161,-0.014,-0.837,17.38,0.53,0.887,1.0,spiral
23.164,0.005,-0.764,16.01,0.535,1.0,1.0,spiral
23.162,-0.021,-0.816,15.76,0.513,1.0,1.0,spiral
3.045,0.426,-0.5,17.61,1.0,0.765,0.366,elliptical
23.163,0.036,-0.8,15.94,1.0,0.843,0.448,elliptical
-13.616,-0.684,0.839,18.98,0.462,0.703,1.0,spiral
0.182,-0.186,0.416,17.22,1.0,0.9,0.383,elliptical
12.063,0.051,0.066,17.42,0.457,1.0,1.0,spiral
-19.64,-0.953,2.278,17.34,0.515,1.0,1.0,spiral
22.198,-0.026,-0.821,17.93,1.0,0.869,0.141,elliptical
-5.732,0.658,-0.945,18.32,1.0,0.703,0.344,elliptical
4.593,-0.776,0.422,16.48,1.0,0.623,1.0,irregular
-58.649,-1.723,2.204,19.02,0.329,0.861,1.0,spiral
-13.107,0.751,0.029,20.99,0.887,0.352,0.711,irregular
-47.473,1.573,2.947,20.99,0.262,0.547,0.862,spiral
14.277,0.047,-0.914,16.96,0.372,1.0,1.0,spiral
23.163,0.035,-0.784,16.12,0.366,1.0,1.0,spiral
-0.583,0.929,-0.661,17.66,1.0,0.874,0.192,elliptical
21.027,-0.094,-0.653,16.28,0.452,1.0,1.0,spiral
6.687,-0.578,-0.843,18.26,0.461,0.992,1.0,spiral
-8.023,-0.5,1.234,18.3,1.0,0.602,1.0,irregular
-6.163,-0.462,-0.636,17.0,1.0,0.775,0.346,elliptical
13.528,-0.016,-0.789,17.58,0.449,0.922,1.0,spiral
-18.756,1.04,0.727,15.85,1.0,0.855,0.227,elliptical
21.985,0.015,-0.782,18.8,1.0,0.658,0.275,elliptical
15.795,0.063,-0.278,16.28,1.0,0.833,0.486,elliptical
10.425,0.194,-0.795,16.93,1.0,0.916,0.351,elliptical
-15.041,0.844,-1.155,18.99,1.0,0.813,0.185,elliptical
23.161,-0.0,-0.825,15.92,1.0,1.0,0.454,elliptical
-3.438,0.269,0.854,18.5,1.0,0.574,0.934,irregular
-29.615,2.036,1.734,19.8,0.234,0.64,1.0,spiral
11.929,0.299,-0.577,17.72,0.412,0.859,1.0,spiral
-7.404,-0.435,0.836,18.98,0.282,0.892,1.0,spiral
-22.981,-1.257,1.93,19.18,1.0,0.649,0.293,elliptical
0.362,-0.039,-0.763,19.18,1.0,0.688,0.337,elliptical
-24.898,-1.676,1.945,19.97,1.0,0.409,0.814,irregular
-12.228,-0.253,0.849,20.71,0.272,0.642,0.854,spiral
-11.512,0.579,-0.405,19.28,0.243,0.672,1.0,spiral
-23.624,1.766,1.647,18.77,0.474,0.854,1.0,spiral
23.161,-0.02,-0.831,16.44,1.0,0.522,1.0,irregular
-16.114,-0.687,-0.428,18.52,1.0,0.631,0.318,elliptical
19.523,-0.109,-0.81,16.58,0.566,1.0,1.0,spiral
-8.942,0.694,-1.039,19.63,1.0,0.432,0.779,irregular
-34.49,0.905,3.249,20.21,1.0,0.436,0.702,irregular
-4.133,-0.192,-0.928,19.14,0.349,0.91,1.0,spiral
16.64,0.315,-0.674,15.33,1.0,1.0,0.399,elliptical
-18.58,1.814,1.641,17.96,1.0,0.789,0.233,elliptical
