# Sample galaxy data (mimicking SDSS format)
# Generated for galaxy visualization testing
# Columns: ra (degrees), dec (degrees), g_mag, r_mag, i_mag, redshift, galaxy_type
# Data is synthetic but follows realistic distributions
ra,dec,g_mag,r_mag,i_mag,redshift,galaxy_type
181.586489,1.761591,19.58,18.64,18.34,0.0262,elliptical
181.858918,0.59607,19.47,19.13,18.75,0.0573,dwarf
179.990979,2.276818,17.55,16.62,16.13,0.001,elliptical
177.860992,-0.346737,19.64,19.06,18.62,0.0538,spiral
179.627467,1.229675,18.34,17.53,16.97,0.0142,spiral
179.933345,3.867116,16.06,15.73,15.32,0.0042,irregular
178.553311,2.614833,16.75,15.77,15.3,0.0127,elliptical
178.398416,0.687717,20.82,20.41,20.49,0.0472,dwarf
181.85375,1.726526,18.88,18.33,17.98,0.0064,elliptical
182.347062,0.790667,18.83,18.07,17.9,0.0228,elliptical
177.867484,0.34879,18.7,17.89,17.73,0.0184,elliptical
180.585725,3.033886,19.27,18.43,17.94,0.0309,spiral
181.528351,2.426772,18.53,18.09,17.86,0.0246,irregular
180.155848,4.183028,17.8,17.41,17.14,0.027,spiral
180.036174,-0.292136,19.37,18.71,18.26,0.001,spiral
179.944233,2.834321,16.59,15.86,15.52,0.001,spiral
179.718751,3.840711,19.31,18.61,18.28,0.0404,spiral
179.985874,2.589236,18.19,17.67,17.38,0.0309,irregular
180.882567,0.578376,19.46,18.79,18.34,0.0195,elliptical
182.497069,-0.25894,21.51,21.08,20.76,0.0838,dwarf
181.192246,3.892578,19.78,19.43,19.04,0.0519,spiral
181.489068,1.677917,19.22,19.03,19.03,0.001,irregular
180.977336,1.442791,17.04,16.71,16.16,0.0306,spiral
180.597452,1.81747,18.09,17.26,17.03,0.0205,spiral
179.206239,1.400978,19.53,18.45,17.94,0.0466,spiral
181.564929,3.090615,20.25,19.63,19.42,0.0535,dwarf
178.007104,1.929359,16.52,16.14,15.81,0.033,spiral
179.056538,2.551669,16.78,16.19,15.81,0.0046,elliptical
180.905589,0.407192,16.78,15.81,15.65,0.0166,elliptical
182.314634,1.917728,17.96,17.44,17.09,0.0224,irregular
180.508059,3.595944,17.74,17.44,17.47,0.0524,irregular
181.699307,4.000116,19.12,18.66,18.24,0.02,spiral
179.618691,2.837749,16.75,15.72,15.6,0.0137,spiral
181.184369,3.813985,19.84,18.91,18.84,0.0437,spiral
179.45453,2.472382,16.54,15.31,14.66,0.001,elliptical
180.962181,4.45628,18.45,17.96,17.9,0.0358,spiral
177.897097,-0.071709,17.95,17.76,17.64,0.001,irregular
177.847119,2.095299,17.07,16.33,15.87,0.0128,spiral
180.754387,2.164789,19.84,19.48,18.93,0.0468,spiral
179.826028,-0.199288,16.31,15.29,15.02,0.0047,elliptical
179.751855,3.280817,19.64,18.92,18.78,0.03,spiral
182.462418,4.135005,17.59,16.44,16.16,0.0204,elliptical
181.276352,0.138567,20.27,19.49,19.39,0.0161,irregular
177.938214,4.184789,16.48,15.9,15.18,0.001,elliptical
180.078397,4.09696,17.6,16.72,16.18,0.0102,elliptical
181.840283,3.529627,16.89,16.04,15.82,0.0019,elliptical
180.974755,1.230499,21.59,20.94,20.7,0.0722,dwarf
180.531265,3.324049,14.21,13.6,13.35,0.001,spiral
177.840862,-0.37094,18.08,17.38,17.09,0.0306,spiral
179.059081,2.030709,18.42,17.98,17.6,0.001,spiral
180.751005,0.260124,17.68,16.78,16.46,0.0101,spiral
182.418395,0.695901,17.45,16.99,16.65,0.0019,spiral
177.811459,2.047111,20.94,20.08,19.64,0.0197,dwarf
180.135207,1.630417,17.81,17.01,16.79,0.001,spiral
179.570649,3.637689,16.81,16.43,16.11,0.0159,elliptical
180.176551,0.576009,16.51,15.92,15.91,0.0463,spiral
181.721785,-0.009587,16.97,16.25,15.87,0.0439,elliptical
179.379441,1.472381,17.84,16.9,16.33,0.001,elliptical
179.688016,0.773353,22.0,21.68,21.28,0.066,irregular
180.683348,2.569668,16.21,15.6,15.29,0.0366,spiral
180.901139,-0.291635,17.45,16.82,16.72,0.001,spiral
179.248516,3.373268,16.96,16.15,15.7,0.001,elliptical
181.321863,0.825232,19.49,19.05,18.96,0.065,spiral
178.528436,0.106932,18.27,17.13,16.81,0.0235,elliptical
182.342444,3.493571,18.09,17.43,16.9,0.031,spiral
181.558849,2.782393,18.84,18.28,18.07,0.0027,spiral
179.660384,1.697025,17.23,16.39,15.94,0.0287,elliptical
178.929534,3.579735,20.51,20.25,19.76,0.0423,irregular
181.142453,3.382237,17.72,17.08,16.62,0.0041,elliptical
181.588927,0.567557,18.09,17.05,16.3,0.0424,elliptical
180.041803,0.987742,18.4,17.43,16.83,0.0375,elliptical
178.300358,1.807787,19.24,18.83,18.33,0.024,spiral
178.520178,2.275425,16.06,15.08,14.5,0.001,elliptical
180.271133,-0.473852,15.76,15.08,14.75,0.001,elliptical
181.883254,4.481672,20.59,20.07,19.74,0.0646,spiral
179.457628,1.563109,18.9,18.11,17.69,0.0123,elliptical
179.904864,2.711628,20.31,19.31,18.7,0.0673,spiral
180.88234,3.524945,17.99,17.13,16.66,0.0069,spiral
181.038405,3.443075,16.13,15.27,14.98,0.001,elliptical
177.943002,0.60306,17.73,16.71,16.03,0.001,elliptical
181.428258,0.091681,17.44,16.62,16.04,0.0453,spiral
178.422381,1.311177,17.21,16.45,16.44,0.0155,spiral
182.203396,0.796484,18.77,18.28,18.15,0.001,spiral
178.1674,-0.096992,14.05,13.19,12.65,0.001,elliptical
178.294541,2.551126,19.15,18.3,18.02,0.0274,spiral
178.808528,0.734894,17.49,17.26,17.08,0.0462,irregular
181.383553,-0.173169,14.59,13.51,13.0,0.001,elliptical
177.609117,2.818948,21.2,20.67,20.45,0.0399,dwarf
178.800789,3.154105,21.29,21.17,20.86,0.0258,dwarf
179.819662,4.360027,16.53,15.69,15.36,0.001,elliptical
178.754833,3.75308,16.28,15.37,14.9,0.0167,elliptical
177.838342,3.039175,17.4,16.67,16.46,0.0128,elliptical
182.228491,3.749877,14.66,13.97,13.47,0.0278,elliptical
177.811366,2.062513,17.83,17.35,17.23,0.0304,irregular
178.793104,0.323532,18.18,17.26,16.91,0.0168,spiral
181.897909,3.852892,18.48,17.88,17.59,0.01,spiral
182.046101,2.193509,17.86,17.11,16.77,0.0416,elliptical
181.378059,4.322383,15.25,14.61,14.26,0.0199,spiral
180.672912,3.489571,18.1,17.33,16.96,0.0041,spiral
181.466307,1.083808,18.52,17.88,17.74,0.0149,irregular
181.969949,2.771463,21.09,20.71,20.4,0.0792,spiral
182.335633,1.588805,21.65,20.72,20.71,0.0514,dwarf
177.563038,2.298778,18.2,17.23,16.8,0.0149,elliptical
178.43706,3.790885,22.0,21.39,21.21,0.0209,irregular
181.608184,1.796326,19.95,19.35,19.2,0.0294,spiral
181.06007,3.629891,17.15,16.63,16.43,0.001,spiral
181.244132,2.755738,18.7,17.88,17.42,0.0265,elliptical
180.670711,0.131324,18.93,18.26,17.92,0.0398,elliptical
181.685206,0.89638,17.65,16.36,16.11,0.003,elliptical
177.665947,1.019732,18.37,17.33,17.12,0.0404,elliptical
182.035975,2.853662,17.34,16.64,16.07,0.011,elliptical
180.233241,1.402003,20.31,20.1,19.89,0.0516,dwarf
181.791708,0.961091,20.33,19.65,19.58,0.065,irregular
181.646973,0.907606,19.61,19.3,19.24,0.0379,irregular
178.709469,-0.43798,18.46,17.88,17.64,0.0032,elliptical
181.215966,-0.259286,19.77,19.0,18.57,0.042,irregular
178.426651,-0.105154,18.11,17.27,17.11,0.0258,spiral
177.969286,4.048134,18.28,16.85,16.72,0.0091,elliptical
179.67298,3.369398,17.34,16.24,15.6,0.0396,elliptical
180.458486,3.013169,16.55,15.95,15.68,0.001,spiral
180.761121,4.252655,17.55,16.31,16.01,0.0194,elliptical
178.771958,1.309265,17.24,16.75,16.28,0.001,elliptical
178.903416,0.534963,17.13,16.38,15.93,0.0381,elliptical
180.063339,0.967444,17.6,17.16,17.08,0.0213,irregular
179.226116,2.03706,22.0,21.52,21.41,0.0297,irregular
179.609141,1.555105,20.39,19.43,19.0,0.033,irregular
182.275303,3.605991,17.28,16.65,16.1,0.0307,spiral
178.072438,1.419194,16.43,15.6,14.97,0.001,elliptical
177.855038,-0.0991,18.25,17.56,17.43,0.0507,spiral
180.468304,-0.449344,17.75,16.7,16.24,0.0302,elliptical
178.102792,4.012267,16.28,15.66,15.37,0.001,spiral
178.975204,1.930002,15.15,14.1,13.57,0.0172,elliptical
181.728022,2.962464,16.21,15.43,14.98,0.001,spiral
179.732098,3.491902,15.73,15.43,15.55,0.0207,irregular
180.505371,3.027929,16.19,15.37,15.14,0.001,elliptical
181.950485,1.229387,18.07,17.51,17.42,0.045,spiral
177.858559,1.548144,19.45,18.52,18.41,0.0226,spiral
182.44018,1.770008,17.44,16.77,16.37,0.0049,elliptical
182.320087,1.421034,17.87,17.34,17.08,0.0506,spiral
178.946224,4.000416,17.86,17.21,16.88,0.0367,spiral
181.633537,4.420066,17.84,17.15,17.09,0.001,spiral
180.207038,0.270725,19.39,18.44,18.07,0.0584,elliptical
179.011666,0.796674,17.75,17.24,17.24,0.0324,spiral
180.402338,0.195984,17.69,16.63,16.28,0.0349,spiral
180.346887,2.603302,17.3,16.72,16.03,0.001,spiral
178.638749,4.320144,19.48,18.45,18.27,0.0404,irregular
181.471053,0.878838,19.68,19.19,18.71,0.0358,irregular
180.443658,1.37665,18.96,18.5,18.17,0.001,spiral
179.961627,2.386395,18.9,18.32,17.96,0.0419,irregular
180.367645,4.280236,19.75,19.19,18.91,0.0576,spiral
180.052162,2.632963,18.97,18.58,18.11,0.0486,irregular
180.962662,0.172176,19.72,19.22,19.06,0.0235,spiral
182.28724,-0.455684,21.45,20.8,20.4,0.0649,dwarf
181.202381,0.214251,18.34,17.2,16.71,0.0324,elliptical
180.568021,-0.056976,17.3,16.55,16.25,0.0102,elliptical
179.244103,0.05499,19.05,18.37,18.21,0.0262,irregular
180.003121,3.472578,15.57,14.82,14.54,0.001,elliptical
181.517414,4.14614,17.58,16.86,16.79,0.0132,spiral
180.70238,4.394906,19.13,18.49,18.55,0.035,elliptical
180.429324,2.623919,16.34,15.59,15.16,0.0146,spiral
181.519793,2.262505,17.97,17.17,16.78,0.001,elliptical
178.92137,0.169142,16.75,15.85,15.3,0.001,elliptical
177.813448,3.696692,19.24,18.81,18.61,0.0263,spiral
179.30117,0.851966,20.85,20.55,20.33,0.0674,irregular
182.049716,1.38659,20.77,20.44,20.68,0.045,dwarf
180.663559,3.019285,18.78,18.35,18.02,0.0292,spiral
181.305189,4.253864,16.76,15.92,15.43,0.0317,elliptical
177.74093,1.300252,17.67,17.16,17.2,0.0125,dwarf
179.343536,1.349066,17.32,16.43,16.08,0.0192,spiral
178.55997,2.786767,17.17,16.2,15.65,0.0438,elliptical
178.976507,0.183005,16.46,15.33,15.11,0.0374,elliptical
181.066034,0.496076,17.42,17.34,17.44,0.0166,irregular
181.677401,-0.426533,17.66,17.26,17.34,0.0128,spiral
180.154688,2.475658,18.81,18.22,17.61,0.0324,spiral
179.059319,3.369957,18.03,17.12,16.62,0.0321,elliptical
178.101036,0.827914,19.47,19.02,19.04,0.0398,spiral
179.358696,-0.493232,18.25,17.64,17.31,0.0274,spiral
181.401881,1.789979,17.41,16.84,16.65,0.001,spiral
179.920385,3.237222,17.53,16.58,16.37,0.0029,elliptical
178.479165,0.204015,17.97,16.79,16.34,0.0123,elliptical
180.679774,1.440829,16.53,15.88,15.51,0.0146,elliptical
179.849941,3.950706,16.19,15.32,14.92,0.0136,elliptical
178.709466,2.003018,17.27,16.44,16.07,0.0402,elliptical
180.232886,1.66408,17.7,17.35,16.98,0.0244,spiral
178.709886,4.303135,15.6,14.91,14.31,0.001,spiral
177.865408,2.611716,21.05,20.72,20.47,0.0619,dwarf
182.38654,3.286551,20.71,20.14,19.74,0.0212,spiral
180.833002,0.313499,17.49,16.28,15.79,0.0108,elliptical
178.643384,2.671818,19.32,18.81,18.58,0.0386,spiral
179.64351,-0.354151,16.54,15.58,15.29,0.001,elliptical
182.097655,4.466275,17.03,16.16,15.65,0.001,spiral
182.092132,4.254643,18.93,18.15,17.69,0.001,elliptical
179.292892,2.783155,18.02,17.61,17.37,0.0339,spiral
182.252296,2.408111,18.82,17.7,17.52,0.0474,spiral
179.265252,3.970472,18.66,17.88,17.66,0.0568,irregular
179.987699,0.523401,16.84,16.14,15.8,0.0173,elliptical
177.855791,-0.154962,14.31,13.75,13.42,0.001,irregular
179.160955,2.96809,16.36,15.37,14.96,0.0246,elliptical
178.912362,1.626141,18.52,18.02,17.82,0.0259,spiral
182.365391,0.630627,16.46,16.0,15.52,0.021,spiral
181.742127,1.613146,19.79,19.39,19.16,0.0472,spiral
179.354705,4.009701,21.63,21.64,21.51,0.0608,irregular
180.222485,3.046604,18.63,17.75,17.35,0.001,spiral
178.9828,3.072121,17.54,16.83,16.78,0.0185,elliptical
182.164624,3.637532,17.12,15.86,15.42,0.0211,elliptical
181.144905,3.808455,17.2,16.49,16.38,0.001,spiral
182.392627,3.782686,18.05,16.81,16.42,0.0339,elliptical
179.402589,0.315177,16.65,15.46,15.07,0.0155,elliptical
178.674867,3.024355,19.9,19.39,19.13,0.0258,irregular
181.09227,3.813202,18.37,17.49,17.34,0.0181,spiral
181.826479,0.286366,19.04,18.52,18.06,0.0427,spiral
178.752339,2.62437,17.58,16.81,16.56,0.001,elliptical
179.264793,2.606462,17.06,16.15,15.93,0.001,spiral
180.927219,1.162281,18.81,18.24,17.73,0.051,spiral
180.661411,0.494961,17.38,16.73,16.57,0.001,spiral
179.660095,4.401844,16.01,15.39,14.86,0.001,spiral
181.022772,1.613643,15.76,15.29,15.0,0.001,spiral
178.842669,0.937308,17.61,16.63,16.24,0.0198,elliptical
177.960335,2.495223,15.94,14.87,14.35,0.001,elliptical
181.033149,2.550037,18.98,18.69,18.42,0.0354,spiral
180.437929,3.005698,17.22,16.33,16.16,0.0225,elliptical
179.751271,4.287905,17.42,16.74,16.57,0.0114,spiral
181.241922,4.072743,17.34,17.07,16.5,0.0411,spiral
180.688441,0.71011,17.93,16.92,16.62,0.0019,elliptical
178.737799,-0.187369,18.32,17.12,16.81,0.028,elliptical
182.257454,3.692459,16.48,15.92,15.38,0.0184,irregular
181.189587,2.107245,19.02,18.47,18.01,0.0775,spiral
178.844268,1.342245,20.99,20.3,19.62,0.0349,irregular
178.741918,3.027304,20.99,20.54,20.32,0.0671,spiral
179.719597,-0.390433,16.96,16.36,15.94,0.0093,spiral
178.026966,3.322204,16.12,15.35,15.09,0.001,spiral
177.85246,0.428234,17.66,16.73,16.43,0.0232,elliptical
178.945937,1.049034,22.0,21.15,21.05,0.0336,spiral
181.642778,3.446464,16.28,15.95,15.55,0.003,spiral
181.881597,0.01284,18.26,17.07,16.71,0.0164,spiral
180.884704,3.689542,18.3,17.32,17.29,0.0302,irregular
180.868227,0.396266,17.0,16.16,15.61,0.0284,elliptical
180.074667,0.306814,17.58,16.89,16.71,0.01,spiral
178.611807,2.096123,15.85,15.06,14.51,0.0402,elliptical
179.578876,1.644722,18.8,17.69,17.29,0.0021,elliptical
179.55979,3.852635,16.28,15.37,15.11,0.0079,elliptical
179.186033,0.21421,16.93,16.29,15.91,0.0129,elliptical
180.039025,1.596358,21.93,21.55,21.03,0.0792,spiral
178.766362,-0.450106,18.99,18.07,17.61,0.0367,elliptical
179.925473,1.168142,15.92,15.06,14.78,0.001,elliptical
179.43913,3.517688,18.5,17.72,17.37,0.0259,irregular
177.832824,2.74159,19.8,19.3,19.28,0.0504,spiral
178.600557,1.252603,17.72,17.24,16.68,0.0115,spiral
180.783647,3.043828,18.98,18.6,18.34,0.0296,spiral
181.522473,3.364048,19.18,18.19,17.68,0.0442,elliptical
180.09004,0.201623,19.18,18.14,17.81,0.0223,elliptical
181.952048,3.249889,19.97,19.04,18.64,0.046,irregular
180.394034,2.661957,20.71,20.16,19.98,0.0341,spiral
179.069134,0.707503,19.28,18.71,18.61,0.0334,spiral
177.884858,2.980781,18.77,17.96,17.76,0.0448,spiral
180.961795,0.82031,16.44,15.61,15.52,0.001,irregular
180.973205,0.593578,18.52,17.86,17.38,0.0377,elliptical
181.304257,0.438612,16.58,15.69,15.46,0.0044,spiral
178.797882,-0.331618,19.63,19.6,19.33,0.031,irregular
179.115137,3.989596,20.21,19.8,19.64,0.055,irregular
180.383512,-0.16372,19.14,18.41,18.27,0.0265,spiral
177.612129,1.302134,15.33,14.3,14.08,0.0071,elliptical
177.571907,3.321767,17.96,16.85,16.14,0.0401,elliptical
181.822166,2.434683,19.62,18.82,18.62,0.0252,elliptical
180.484259,4.14091,19.66,19.79,19.42,0.0543,irregular
180.465791,-0.23326,18.93,17.79,17.31,0.0261,elliptical
178.336785,2.001797,18.71,17.55,17.26,0.0174,elliptical
180.679702,2.496511,17.4,16.44,16.0,0.0235,spiral
178.348642,-0.404276,19.36,18.29,17.83,0.0429,elliptical
182.304601,2.179675,16.18,15.34,15.19,0.0125,elliptical
182.106538,2.415954,16.94,16.07,15.68,0.001,elliptical
177.922827,2.534235,19.6,18.86,18.52,0.0292,irregular
181.930467,0.483268,18.57,17.8,17.36,0.0422,elliptical
182.366913,1.825048,18.67,18.32,18.0,0.0329,irregular
182.189826,-0.074483,17.73,17.44,17.22,0.0117,spiral
178.337455,0.236378,18.8,18.44,18.31,0.049,dwarf
178.996917,0.66253,16.85,16.5,16.27,0.0121,spiral
178.552535,3.545118,19.32,18.8,18.79,0.0302,spiral
